status,error,crop,year,district,ndvi_source,static_source,output_dir,ndvi_run,static_run,vector_run,sieved_ndvi_raster,sieved_static_raster,vector_output,ndvi_minutes,static_minutes,total_minutes,result_check
ok,,cane,2025,okara,stac,stac,/home/jovyan/FAO/optimized_code_testing/runs_retest/B2_batch/cane_normal,1_ndvi_run_1,2_static_run_1,3_vector_run_1,/home/jovyan/FAO/optimized_code_testing/runs_retest/B2_batch/cane_normal/1_ndvi_run_1/okara_test_data_cane_rf_classification_map_sieved_p20.tif,/home/jovyan/FAO/optimized_code_testing/runs_retest/B2_batch/cane_normal/2_static_run_1/16_Oct_2025/static_mosaic_16_Oct_2025_Cls_sieved_p20.tif,/home/jovyan/FAO/optimized_code_testing/runs_retest/B2_batch/cane_normal/3_vector_run_1/final_output/okara_cane_2025.gpkg,0.0,0.2,0.3,"{'warnings': [], 'aoi_acres': 51293.1, 'feature_count': 926, 'crop_acres': 2184.7, 'crop_share_of_aoi_pct': 4.3, 'ndvi_crop_pixels': 245245, 'static_crop_pixels': 106793, 'static_retention_pct': 43.5}"
ok,,cane,2025,okara_nocane,stac,stac,/home/jovyan/FAO/optimized_code_testing/runs_retest/B2_batch/cane_EMPTY,1_ndvi_run_1,2_static_run_1,3_vector_run_1,/home/jovyan/FAO/optimized_code_testing/runs_retest/B2_batch/cane_EMPTY/1_ndvi_run_1/okara_nocane_block_rf_classification_map_sieved_p20.tif,/home/jovyan/FAO/optimized_code_testing/runs_retest/B2_batch/cane_EMPTY/2_static_run_1/07_Nov_2025/static_mosaic_07_Nov_2025_Cls_sieved_p20.tif,/home/jovyan/FAO/optimized_code_testing/runs_retest/B2_batch/cane_EMPTY/3_vector_run_1/final_output/okara_nocane_cane_2025.gpkg,0.0,0.3,0.3,"{'warnings': [""The static model kept only 0.0% of the NDVI stage's crop area. That is the signature of a hazy or cloud-contaminated image rather than of a real crop boundary -- re-run from the next window (static_window_start_at) before accepting this.""], 'aoi_acres': 1324.7, 'feature_count': 0, 'crop_acres': 0.0, 'crop_share_of_aoi_pct': 0.0, 'ndvi_crop_pixels': 21951, 'static_crop_pixels': 0, 'static_retention_pct': 0.0}"
ok,,wheat,2025,okara,stac,stac,/home/jovyan/FAO/optimized_code_testing/runs_retest/B2_batch/wheat_after_empty,1_ndvi_run_1,2_static_run_1,3_vector_run_1,/home/jovyan/FAO/optimized_code_testing/runs_retest/B2_batch/wheat_after_empty/1_ndvi_run_1/okara_test_data_wheat_rf_classification_map_sieved_p20.tif,/home/jovyan/FAO/optimized_code_testing/runs_retest/B2_batch/wheat_after_empty/2_static_run_1/18_Feb_2025/static_mosaic_18_Feb_2025_Cls_sieved_p20.tif,/home/jovyan/FAO/optimized_code_testing/runs_retest/B2_batch/wheat_after_empty/3_vector_run_1/final_output/okara_wheat_2025.gpkg,0.0,0.4,0.4,"{'warnings': [], 'aoi_acres': 51293.1, 'feature_count': 2114, 'crop_acres': 18404.3, 'crop_share_of_aoi_pct': 35.9, 'ndvi_crop_pixels': 2889629, 'static_crop_pixels': 871772, 'static_retention_pct': 30.2}"
